aid,epaReg,prodName,sourcePage,evType,ts
a8b7efafc442b515e11c4535d038fdd26665aeab5d184bde821ba1c5762435f7,62719-220,Lorsban®-4E Insecticide,H&S,evDownloadLabel,2021-02-03T20:15:09.200Z
a8b7efafc442b515e11c4535d038fdd26665aeab5d184bde821ba1c5762435f7,62719-220,Lorsban®-4E Insecticide,H&S,evDownloadLabel,2021-02-03T20:20:56.551Z
a8b7efafc442b515e11c4535d038fdd26665aeab5d184bde821ba1c5762435f7,62719-220,Lorsban®-4E Insecticide,H&S,evDownloadLabel,2021-02-03T20:22:16.066Z
a8b7efafc442b515e11c4535d038fdd26665aeab5d184bde821ba1c5762435f7,62719-220,Lorsban®-4E Insecticide,H&S,evDownloadLabel,2021-02-03T20:22:42.878Z
a8b7efafc442b515e11c4535d038fdd26665aeab5d184bde821ba1c5762435f7,62719-220,Lorsban®-4E Insecticide,H&S,evDownloadLabel,2021-02-03T21:05:19.504Z
df2c24dcba7366af2a0f5058f2ecaede3736b0c0b5e73f05436dfd01abd8156b,70506-339,ACENTHRIN INSECTICIDE,PICOL,evDownloadLabel,2021-02-03T21:09:00.194Z
df2c24dcba7366af2a0f5058f2ecaede3736b0c0b5e73f05436dfd01abd8156b,61842-30,LIME-SULFUR SOLUTION AG FUNGICIDE,PICOL,evDownloadLabel,2021-02-03T21:11:23.117Z
7817c36a11ec1f07fc20fe70776130c5ebaeba89cc864e0f24ac107096d05b2f,71096-6,Rex Lime Sulfur Solution,H&S,evDownloadLabel,2021-02-03T21:11:32.413Z
df2c24dcba7366af2a0f5058f2ecaede3736b0c0b5e73f05436dfd01abd8156b,61842-30-48813,BRANDT LIME SULFUR FUNGICIDE,PICOL,evDownloadLabel,2021-02-03T21:11:33.079Z
905d82fd47d7fc2cad4394b927ee06261ceb7df82710883fd8efd365b610c4f4,62719-541,Delegate® WG,H&S,evDownloadLabel,2021-02-03T21:12:07.691Z
df2c24dcba7366af2a0f5058f2ecaede3736b0c0b5e73f05436dfd01abd8156b,71096-11,LIME SULFUR ULTRA,PICOL,evDownloadLabel,2021-02-03T21:12:08.676Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,83100-4-83979,ABACUS AGRICULTURAL MITICIDE/INSECTICIDE,PICOL,evDownloadLabel,2021-02-03T21:12:25.681Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,2935-546,470 SUPREME SPRAY OIL,PICOL,evDownloadLabel,2021-02-03T21:12:34.261Z
3c1b22ffd44818994c9dbcfbc157ad49170e36ee1a9a12915cf28044f21ae925,2935-546,470 SUPREME SPRAY OIL,PICOL,evDownloadLabel,2021-02-03T21:12:37.633Z
cce46e09be414363acb65b1cb30f0b9cb815c89a0ee5b63cf329b1be88e11340,62719-220,Lorsban®-4E Insecticide,H&S,evDownloadLabel,2021-02-03T21:29:29.251Z
df2c24dcba7366af2a0f5058f2ecaede3736b0c0b5e73f05436dfd01abd8156b,71096-6,REX LIME SULFUR SOLUTION,PICOL,evDownloadLabel,2021-02-03T21:37:46.033Z
6033f1cbc3324b6fe261f10eea6d1d0de057b9f34ee61eb547be32423b35c725,228-734,ABAMEX MITICIDE/INSECTICIDE,PICOL,evDownloadLabel,2021-02-03T21:44:29.726Z
7f648f46ba85f3a91e18f6d750a925b1f907005f5bd5c11c601ca57fd2cfc2e9,51934-12,Cidetrak® Da Mec™,H&S,evDownloadLabel,2021-02-03T21:49:53.694Z
b8323c5aadcd04eb1cbfc8d073e3fea8216f93add531c9a5a43aa4b4bff43057,42750-19-5905,"2,4-D AMINE 4 HERBICIDE",PICOL,evDownloadLabel,2021-02-03T21:57:58.182Z
f713055a14e10a010b6df51aee5da98625d694126db33bcd8ec597a3a41d6d80,34704-447,Carbaryl 4L,H&S,evDownloadLabel,2021-02-03T23:50:12.269Z
9f635ac94fe07d336db9c7e621382472932fe7db57d37e1fe777b94ba9bd7ff2,45002-8,AGRISTAR BASIC COPPER 53,PICOL,evDownloadLabel,2021-02-04T18:12:58.058Z
9f635ac94fe07d336db9c7e621382472932fe7db57d37e1fe777b94ba9bd7ff2,5481-414,K-SALT FRUIT FIX 200,PICOL,evDownloadLabel,2021-02-04T19:36:44.122Z
7beabc04dd9f3e93048050b0f5c221f68645e30d799d3cf6c84ad30a338d3b57,55146-57,CHAMP DRY PRILL AGRICULTURAL FUNGICIDE / BACTERICIDE,PICOL,evDownloadLabel,2021-02-05T05:25:13.427Z
7beabc04dd9f3e93048050b0f5c221f68645e30d799d3cf6c84ad30a338d3b57,55146-57,CHAMP DRY PRILL AGRICULTURAL FUNGICIDE / BACTERICIDE,PICOL,evDownloadLabel,2021-02-05T05:25:18.069Z
7dc3ddc6dce1c1fad96e2e2d78bb3b038c1fd2f2db9b1082d5287e2e4809e699,1381-103,"2,4-D AMINE 4",PICOL,evDownloadLabel,2021-02-05T18:25:40.122Z
22ac4054ea4eb6030e3da55fd2b52b9bac87bce902a85e3e2b3f4ea374badbed,2935-546,440 Superior Spray Oil,H&S,evDownloadLabel,2021-02-07T17:49:49.422Z
825dfc571ddb396e52fac55c4dc6101bb7f51b2aa84b6b7bb840b1caffb2f3b5,264-1025,Belt® SC Insecticide,H&S Supplement,evDownloadLabel,2021-02-08T05:28:45.907Z
825dfc571ddb396e52fac55c4dc6101bb7f51b2aa84b6b7bb840b1caffb2f3b5,264-1025,Belt® SC Insecticide,H&S,evDownloadLabel,2021-02-08T05:28:48.326Z
825dfc571ddb396e52fac55c4dc6101bb7f51b2aa84b6b7bb840b1caffb2f3b5,264-1025,Belt® SC Insecticide,H&S Supplement,evDownloadLabel,2021-02-08T05:29:06.101Z
825dfc571ddb396e52fac55c4dc6101bb7f51b2aa84b6b7bb840b1caffb2f3b5,264-1025,Belt® SC Insecticide,H&S,evDownloadLabel,2021-02-08T05:29:13.247Z
